title,full_link,price,rating,sold,offer,page_number,offer_percentage
OnePlus Nord CE 3 5G | 12GB RAM and 256GB ROM | 6.7 inch Fluid AMOLED 120 Hz Display | 80W SuperVOOC Charge,https://www.daraz.com.np/products/oneplus-nord-ce-3-5g-12gb-ram-and-256gb-rom-67-inch-fluid-amoled-120-hz-display-80w-supervooc-charge-i130087678.html,36999.0,22.0,127.0,31% Off,1,31.0
"OnePlus Nord CE3 5G |12GB RAM, 256 GB Storage | Snapdragon™ 782G | 80W SUPERVOOC Charge | 17.02cm 120 Hz Fluid AMOLED + Dual Speakers",https://www.daraz.com.np/products/oneplus-nord-ce3-5g-12gb-ram-256-gb-storage-snapdragon-782g-80w-supervooc-charge-1702cm-120-hz-fluid-amoled-dual-speakers-i130157449.html,36999.0,50.0,277.0,31% Off,1,31.0
"OnePlus Nord N30SE 5G | 4GB RAM, 128GB Storage | 5000 mAh Battery",https://www.daraz.com.np/products/oneplus-nord-n30se-5g-4gb-ram-128gb-storage-5000-mah-battery-i129444606.html,18999.0,22.0,142.0,28% Off,1,28.0
Benco S1 (8GB+128GB) || Fingerprint || 48MP + 2MP + AI Camera || 5000Mah Battery,https://www.daraz.com.np/products/benco-8gb128gb-fingerprint-48mp-2mp-ai-camera-5000mah-battery-i128202548.html,14300.0,7.0,80.0,16% Off,1,16.0
"OnePlus Nord N30SE 5G (4/128GB) | 6.72"" FHD+ Sunlight Display | 5000 mAh Battery",https://www.daraz.com.np/products/oneplus-nord-n30se-5g-4128gb-672-fhd-sunlight-display-5000-mah-battery-i129548934.html,18999.0,5.0,57.0,28% Off,1,28.0
Apple iPhone 15 Pro Max - EvoStore,https://www.daraz.com.np/products/apple-iphone-15-pro-max-evostore-i128335575.html,205999.0,10.0,60.0,4% Off,1,4.0
"Tecno Spark 20 Pro+ (16*/256 GB) | 6.78"" FHD + AMOLED Curved Screen | 120Hz Refresh Rate | 100 Days Replacement Warranty | G99 Ultra Boost Processor | 108MP Ultra Sensing Main Camera | 5000mAh Battery | 33W Super Charge",https://www.daraz.com.np/products/tecno-spark-20-pro-16256-gb-678-fhd-amoled-curved-screen-120hz-refresh-rate-100-days-replacement-warranty-g99-ultra-boost-processor-108mp-ultra-sensing-main-camera-5000mah-battery-33w-super-charge-i132383414.html,26990.0,80.0,260.0,10% Off,1,10.0
Oneplus Nord N30 SE 5G || 4/128 GB || 5000 mAh Battery,https://www.daraz.com.np/products/oneplus-nord-n30-se-5g-4128-gb-5000-mah-battery-i129578430.html,18890.0,4.0,38.0,29% Off,1,29.0
Oneplus Nord CE 3 5G || 12/256GB || Snapdragon 782G Chipset,https://www.daraz.com.np/products/oneplus-nord-ce-3-5g-12256gb-snapdragon-782g-chipset-i141008838.html,36890.0,7.0,31.0,32% Off,1,32.0
Xiaomi Redmi 13C 4G LTE (4/128GB) | 6.74in Display | MediaTek Helio G85 processor | 5000mAh Battery,https://www.daraz.com.np/products/xiaomi-redmi-13c-4g-lte-4128gb-674in-display-mediatek-helio-g85-processor-5000mah-battery-i129785956.html,13999.0,23.0,83.0,,1,0.0
"X-AGE SNAP Smartphone | 6GB/128GB | 48MP Rear Camera | 6.82"" IPS Display | UNISOC T606 | 5000mAh Battery",https://www.daraz.com.np/products/x-age-snap-smartphone-6gb128gb-48mp-rear-camera-682-ips-display-unisoc-t606-5000mah-battery-i129759680.html,13560.0,23.0,111.0,20% Off,1,20.0
"Infinix GT 20 Pro 5G (12/256GB) | 6.78"" Full HD+ 144Hz Amoled Display | MediaTek Dimensity 8200 ultimate 4nm 5G Processor | 5000mAh Battery | 45W Fast Charging",https://www.daraz.com.np/products/infinix-gt-20-pro-5g-12256gb-678-full-hd-144hz-amoled-display-mediatek-dimensity-8200-ultimate-4nm-5g-processor-5000mah-battery-45w-fast-charging-i136832969.html,47899.0,3.0,10.0,,1,0.0
"Samsung Galaxy A15 5G (6GB/128GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Rear Camera | 5000mAh Battery",https://www.daraz.com.np/products/samsung-galaxy-a15-5g-6gb128gb-65-superamoled-90hz-display-50mp5mp2mp-rear-camera-5000mah-battery-i129730331.html,27499.0,12.0,44.0,2% Off,1,2.0
"Redmi 13C (4/128GB) | 6.74"" Dot Drop display | 90Hz Refresh Rate | 5000mAh Battery | 18W PD charging",https://www.daraz.com.np/products/redmi-13c-4128gb-674-dot-drop-display-90hz-refresh-rate-5000mah-battery-18w-pd-charging-i132379867.html,13999.0,11.0,38.0,,1,0.0
Samsung Galaxy S24 Ultra 5G (12GB/512GB) | AI Smartphone | SnapDragon 8Gen 3 for Galaxy | 200MP Main Camera,https://www.daraz.com.np/products/samsung-galaxy-ultra-5g-12gb512gb-ai-smartphone-snapdragon-8gen-3-for-galaxy-200mp-main-camera-i129568594.html,199999.0,2.0,23.0,,1,0.0
"Honor X5 Plus (4/64 GB), 50 MP Camera",https://www.daraz.com.np/products/honor-x5-plus-464-gb-50-mp-camera-i129194014.html,12990.0,3.0,24.0,16% Off,1,16.0
Apple iPhone 15 - EvoStore,https://www.daraz.com.np/products/apple-iphone-15-evostore-i128302992.html,135200.0,11.0,42.0,14% Off,1,14.0
"Redmi A3 (4/128 GB) | 6.71"" Display | MediaTek Helio G36 processor | 5000mAh Battery | 10W Charging",https://www.daraz.com.np/products/redmi-a3-4128-gb-671-display-mediatek-helio-g36-processor-5000mah-battery-10w-charging-i129955360.html,12999.0,9.0,52.0,,1,0.0
Samsung Galaxy A15 5G  | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery,https://www.daraz.com.np/products/samsung-galaxy-a15-5g-50-mp-main-camera-android-14-with-one-ui-60-16gb-expandable-ram-mediatek-dimensity-6100-5000-mah-battery-i129700589.html,29999.0,12.0,36.0,,1,0.0
Tecno Spark 20 || 8/256 GB || 5000 mAh Battery,https://www.daraz.com.np/products/tecno-spark-20-8256-gb-5000-mah-battery-i129927744.html,17890.0,6.0,23.0,1% Off,1,1.0
"Redmi 13 (6/128) | 6.79"" FHD+ DotDisplay | MediaTek Helio G91-Ultra processor | 5030mAh (typ) Battery",https://www.daraz.com.np/products/redmi-13-6128-679-fhd-dotdisplay-mediatek-helio-g91-ultra-processor-5030mah-typ-battery-i136101008.html,18999.0,3.0,32.0,,1,0.0
Apple iPhone 11 - 128 GB - Oliz Store,https://www.daraz.com.np/products/apple-iphone-11-128-gb-oliz-store-i107988223.html,69000.0,88.0,367.0,23% Off,1,23.0
"X-AGE LEAP Smartphone | 4GB/64GB | 13MP Rear Camera | 6.56"" IPS Display | UNISOC SC9863A | 5000mAh Battery",https://www.daraz.com.np/products/x-age-leap-smartphone-4gb64gb-13mp-rear-camera-656-ips-display-unisoc-sc9863a-5000mah-battery-i129729890.html,11300.0,12.0,78.0,13% Off,1,13.0
Infinix Note 40 4G || 8/256 GB || 45W wired / 20W wireless MagCharge,https://www.daraz.com.np/products/infinix-note-40-4g-8256-gb-45w-wired-20w-wireless-magcharge-i136276264.html,27790.0,8.0,21.0,1% Off,1,1.0
"Samsung Galaxy A55 5G (8GB/256GB) | 6.6"" SuperAMOLED 120Hz Display | 50MP+12MP +5MP Rear Camera | 5000mAh Battery",https://www.daraz.com.np/products/samsung-galaxy-a55-5g-8gb256gb-66-superamoled-120hz-display-50mp12mp-5mp-rear-camera-5000mah-battery-i130001273.html,61999.0,5.0,24.0,2% Off,1,2.0
"Samsung Galaxy A15 5G (8GB/256GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Rear Camera | 5000mAh Battery",https://www.daraz.com.np/products/samsung-galaxy-a15-5g-8gb256gb-65-superamoled-90hz-display-50mp5mp2mp-rear-camera-5000mah-battery-i129729319.html,33399.0,3.0,27.0,2% Off,1,2.0
CMF PHONE 1 | (8 /128GB) | 6.67” 120 Hz Super AMOLED Display | MediaTek Dimensity 7300 5G Processor | 5000 mAh| 33W Fast Charging,https://www.daraz.com.np/products/cmf-phone-1-8-128gb-667-120-hz-super-amoled-display-mediatek-dimensity-7300-5g-processor-5000-mah-33w-fast-charging-i138665388.html,31699.0,3.0,17.0,14% Off,1,14.0
MHorse Spark10Pro 3/64GB,https://www.daraz.com.np/products/mhorse-spark10pro-364gb-i129650508.html,9000.0,9.0,50.0,,1,0.0
Infinix Hot 40i || Upto 256 GB || 5000 mAh Camera,https://www.daraz.com.np/products/infinix-hot-40i-upto-256-gb-5000-mah-camera-i131386962.html,14890.0,2.0,17.0,1% Off,1,1.0
Tecno Spark GO 2024 || 4/64GB || 5000 mAh Battery,https://www.daraz.com.np/products/tecno-spark-go-2024-464gb-5000-mah-battery-i129594115.html,11850.0,12.0,62.0,1% Off,1,1.0
Infinix Smart 8 Pro || 50 MP Camera || 5000 mAh Battery,https://www.daraz.com.np/products/infinix-smart-8-pro-50-mp-camera-5000-mah-battery-i129801860.html,12899.0,10.0,45.0,1% Off,1,1.0
HONOR X8b (16*/512GB) 108MP+50MP portrait photography Camera | AMOLED Display | Computer Level Storage,https://www.daraz.com.np/products/honor-x8b-16512gb-108mp50mp-portrait-photography-camera-amoled-display-computer-level-storage-i129774095.html,29999.0,17.0,70.0,,1,0.0
TECNO SPARK GO 2024,https://www.daraz.com.np/products/tecno-spark-go-2024-i130034915.html,11900.0,8.0,49.0,,1,0.0
"Samsung Galaxy M15 5G (6GB/128GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Main Camera | 6000mAh Huge Battery",https://www.daraz.com.np/products/samsung-galaxy-m15-5g-6gb128gb-65-superamoled-90hz-display-50mp5mp2mp-main-camera-6000mah-huge-battery-i132006459.html,25999.0,4.0,21.0,,1,0.0
Apple iPhone 11 (128GB) | A13 Bionic 64-bit Processor,https://www.daraz.com.np/products/apple-iphone-11-128gb-a13-bionic-64-bit-processor-i131825414.html,69000.0,2.0,7.0,23% Off,1,23.0
"Redmi Note 13 Pro (12/512) | 6.67"" AMOLED Display | MediaTek Helio G99-Ultra Processor | 5000mAh Battery | 67W Turbo Charging",https://www.daraz.com.np/products/redmi-note-13-pro-12512-667-amoled-display-mediatek-helio-g99-ultra-processor-5000mah-battery-67w-turbo-charging-i129565971.html,35999.0,14.0,63.0,,1,0.0
"Infinix HOT 30i (8/128GB) | 6.56"" HD+ Punch Hole Display | Media Tek Helio G37 | 5000 mAh Battery | 10W",https://www.daraz.com.np/products/infinix-hot-30i-8128gb-656-hd-punch-hole-display-media-tek-helio-g37-5000-mah-battery-10w-i130124917.html,15499.0,2.0,13.0,9% Off,1,9.0
M-Horse Hot30 Play Plus+,https://www.daraz.com.np/products/m-horse-hot30-play-plus-i147343177.html,9800.0,1.0,7.0,,1,0.0
M-HORSE HOT 30 Play 3/64 Ram Room 5000 mAh Battery,https://www.daraz.com.np/products/m-horse-hot-30-play-364-ram-room-5000-mah-battery-i129743160.html,9785.0,8.0,41.0,5% Off,1,5.0
"Redmi Note 13 Pro+ 5G (8/256) | 6.67"" CrystalRes AMOLED Display | MediaTek Dimensity 7200-Ultra Processor | 5000mAh Battery | 120W HyperCharge",https://www.daraz.com.np/products/redmi-note-13-pro-5g-8256-667-crystalres-amoled-display-mediatek-dimensity-7200-ultra-processor-5000mah-battery-120w-hypercharge-i129553683.html,44999.0,18.0,58.0,6% Off,1,6.0
OnePlus Nord CE 3 5G | 12GB RAM and 256GB ROM | 6.7 inch Fluid AMOLED 120 Hz Display | 80W SuperVOOC Charge,https://www.daraz.com.np/products/oneplus-nord-ce-3-5g-12gb-ram-and-256gb-rom-67-inch-fluid-amoled-120-hz-display-80w-supervooc-charge-i130087678.html,36999.0,22.0,127.0,31% Off,2,31.0
"OnePlus Nord CE3 5G |12GB RAM, 256 GB Storage | Snapdragon™ 782G | 80W SUPERVOOC Charge | 17.02cm 120 Hz Fluid AMOLED + Dual Speakers",https://www.daraz.com.np/products/oneplus-nord-ce3-5g-12gb-ram-256-gb-storage-snapdragon-782g-80w-supervooc-charge-1702cm-120-hz-fluid-amoled-dual-speakers-i130157449.html,36999.0,50.0,277.0,31% Off,2,31.0
"OnePlus Nord N30SE 5G | 4GB RAM, 128GB Storage | 5000 mAh Battery",https://www.daraz.com.np/products/oneplus-nord-n30se-5g-4gb-ram-128gb-storage-5000-mah-battery-i129444606.html,18999.0,22.0,142.0,28% Off,2,28.0
Benco S1 (8GB+128GB) || Fingerprint || 48MP + 2MP + AI Camera || 5000Mah Battery,https://www.daraz.com.np/products/benco-8gb128gb-fingerprint-48mp-2mp-ai-camera-5000mah-battery-i128202548.html,14300.0,7.0,80.0,16% Off,2,16.0
"OnePlus Nord N30SE 5G (4/128GB) | 6.72"" FHD+ Sunlight Display | 5000 mAh Battery",https://www.daraz.com.np/products/oneplus-nord-n30se-5g-4128gb-672-fhd-sunlight-display-5000-mah-battery-i129548934.html,18999.0,5.0,57.0,28% Off,2,28.0
Apple iPhone 15 Pro Max - EvoStore,https://www.daraz.com.np/products/apple-iphone-15-pro-max-evostore-i128335575.html,205999.0,10.0,60.0,4% Off,2,4.0
"Tecno Spark 20 Pro+ (16*/256 GB) | 6.78"" FHD + AMOLED Curved Screen | 120Hz Refresh Rate | 100 Days Replacement Warranty | G99 Ultra Boost Processor | 108MP Ultra Sensing Main Camera | 5000mAh Battery | 33W Super Charge",https://www.daraz.com.np/products/tecno-spark-20-pro-16256-gb-678-fhd-amoled-curved-screen-120hz-refresh-rate-100-days-replacement-warranty-g99-ultra-boost-processor-108mp-ultra-sensing-main-camera-5000mah-battery-33w-super-charge-i132383414.html,26990.0,80.0,260.0,10% Off,2,10.0
Oneplus Nord N30 SE 5G || 4/128 GB || 5000 mAh Battery,https://www.daraz.com.np/products/oneplus-nord-n30-se-5g-4128-gb-5000-mah-battery-i129578430.html,18890.0,4.0,38.0,29% Off,2,29.0
Oneplus Nord CE 3 5G || 12/256GB || Snapdragon 782G Chipset,https://www.daraz.com.np/products/oneplus-nord-ce-3-5g-12256gb-snapdragon-782g-chipset-i141008838.html,36890.0,7.0,31.0,32% Off,2,32.0
Xiaomi Redmi 13C 4G LTE (4/128GB) | 6.74in Display | MediaTek Helio G85 processor | 5000mAh Battery,https://www.daraz.com.np/products/xiaomi-redmi-13c-4g-lte-4128gb-674in-display-mediatek-helio-g85-processor-5000mah-battery-i129785956.html,13999.0,23.0,83.0,,2,0.0
"X-AGE SNAP Smartphone | 6GB/128GB | 48MP Rear Camera | 6.82"" IPS Display | UNISOC T606 | 5000mAh Battery",https://www.daraz.com.np/products/x-age-snap-smartphone-6gb128gb-48mp-rear-camera-682-ips-display-unisoc-t606-5000mah-battery-i129759680.html,13560.0,23.0,111.0,20% Off,2,20.0
"Infinix GT 20 Pro 5G (12/256GB) | 6.78"" Full HD+ 144Hz Amoled Display | MediaTek Dimensity 8200 ultimate 4nm 5G Processor | 5000mAh Battery | 45W Fast Charging",https://www.daraz.com.np/products/infinix-gt-20-pro-5g-12256gb-678-full-hd-144hz-amoled-display-mediatek-dimensity-8200-ultimate-4nm-5g-processor-5000mah-battery-45w-fast-charging-i136832969.html,47899.0,3.0,10.0,,2,0.0
"Samsung Galaxy A15 5G (6GB/128GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Rear Camera | 5000mAh Battery",https://www.daraz.com.np/products/samsung-galaxy-a15-5g-6gb128gb-65-superamoled-90hz-display-50mp5mp2mp-rear-camera-5000mah-battery-i129730331.html,27499.0,12.0,44.0,2% Off,2,2.0
"Redmi 13C (4/128GB) | 6.74"" Dot Drop display | 90Hz Refresh Rate | 5000mAh Battery | 18W PD charging",https://www.daraz.com.np/products/redmi-13c-4128gb-674-dot-drop-display-90hz-refresh-rate-5000mah-battery-18w-pd-charging-i132379867.html,13999.0,11.0,38.0,,2,0.0
Samsung Galaxy S24 Ultra 5G (12GB/512GB) | AI Smartphone | SnapDragon 8Gen 3 for Galaxy | 200MP Main Camera,https://www.daraz.com.np/products/samsung-galaxy-ultra-5g-12gb512gb-ai-smartphone-snapdragon-8gen-3-for-galaxy-200mp-main-camera-i129568594.html,199999.0,2.0,23.0,,2,0.0
"Honor X5 Plus (4/64 GB), 50 MP Camera",https://www.daraz.com.np/products/honor-x5-plus-464-gb-50-mp-camera-i129194014.html,12990.0,3.0,24.0,16% Off,2,16.0
Apple iPhone 15 - EvoStore,https://www.daraz.com.np/products/apple-iphone-15-evostore-i128302992.html,135200.0,11.0,42.0,14% Off,2,14.0
"Redmi A3 (4/128 GB) | 6.71"" Display | MediaTek Helio G36 processor | 5000mAh Battery | 10W Charging",https://www.daraz.com.np/products/redmi-a3-4128-gb-671-display-mediatek-helio-g36-processor-5000mah-battery-10w-charging-i129955360.html,12999.0,9.0,52.0,,2,0.0
Samsung Galaxy A15 5G  | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery,https://www.daraz.com.np/products/samsung-galaxy-a15-5g-50-mp-main-camera-android-14-with-one-ui-60-16gb-expandable-ram-mediatek-dimensity-6100-5000-mah-battery-i129700589.html,29999.0,12.0,36.0,,2,0.0
Tecno Spark 20 || 8/256 GB || 5000 mAh Battery,https://www.daraz.com.np/products/tecno-spark-20-8256-gb-5000-mah-battery-i129927744.html,17890.0,6.0,23.0,1% Off,2,1.0
"Redmi 13 (6/128) | 6.79"" FHD+ DotDisplay | MediaTek Helio G91-Ultra processor | 5030mAh (typ) Battery",https://www.daraz.com.np/products/redmi-13-6128-679-fhd-dotdisplay-mediatek-helio-g91-ultra-processor-5030mah-typ-battery-i136101008.html,18999.0,3.0,32.0,,2,0.0
Apple iPhone 11 - 128 GB - Oliz Store,https://www.daraz.com.np/products/apple-iphone-11-128-gb-oliz-store-i107988223.html,69000.0,88.0,367.0,23% Off,2,23.0
"X-AGE LEAP Smartphone | 4GB/64GB | 13MP Rear Camera | 6.56"" IPS Display | UNISOC SC9863A | 5000mAh Battery",https://www.daraz.com.np/products/x-age-leap-smartphone-4gb64gb-13mp-rear-camera-656-ips-display-unisoc-sc9863a-5000mah-battery-i129729890.html,11300.0,12.0,78.0,13% Off,2,13.0
Infinix Note 40 4G || 8/256 GB || 45W wired / 20W wireless MagCharge,https://www.daraz.com.np/products/infinix-note-40-4g-8256-gb-45w-wired-20w-wireless-magcharge-i136276264.html,27790.0,8.0,21.0,1% Off,2,1.0
"Samsung Galaxy A55 5G (8GB/256GB) | 6.6"" SuperAMOLED 120Hz Display | 50MP+12MP +5MP Rear Camera | 5000mAh Battery",https://www.daraz.com.np/products/samsung-galaxy-a55-5g-8gb256gb-66-superamoled-120hz-display-50mp12mp-5mp-rear-camera-5000mah-battery-i130001273.html,61999.0,5.0,24.0,2% Off,2,2.0
"Samsung Galaxy A15 5G (8GB/256GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Rear Camera | 5000mAh Battery",https://www.daraz.com.np/products/samsung-galaxy-a15-5g-8gb256gb-65-superamoled-90hz-display-50mp5mp2mp-rear-camera-5000mah-battery-i129729319.html,33399.0,3.0,27.0,2% Off,2,2.0
CMF PHONE 1 | (8 /128GB) | 6.67” 120 Hz Super AMOLED Display | MediaTek Dimensity 7300 5G Processor | 5000 mAh| 33W Fast Charging,https://www.daraz.com.np/products/cmf-phone-1-8-128gb-667-120-hz-super-amoled-display-mediatek-dimensity-7300-5g-processor-5000-mah-33w-fast-charging-i138665388.html,31699.0,3.0,17.0,14% Off,2,14.0
MHorse Spark10Pro 3/64GB,https://www.daraz.com.np/products/mhorse-spark10pro-364gb-i129650508.html,9000.0,9.0,50.0,,2,0.0
Infinix Hot 40i || Upto 256 GB || 5000 mAh Camera,https://www.daraz.com.np/products/infinix-hot-40i-upto-256-gb-5000-mah-camera-i131386962.html,14890.0,2.0,17.0,1% Off,2,1.0
Tecno Spark GO 2024 || 4/64GB || 5000 mAh Battery,https://www.daraz.com.np/products/tecno-spark-go-2024-464gb-5000-mah-battery-i129594115.html,11850.0,12.0,62.0,1% Off,2,1.0
Infinix Smart 8 Pro || 50 MP Camera || 5000 mAh Battery,https://www.daraz.com.np/products/infinix-smart-8-pro-50-mp-camera-5000-mah-battery-i129801860.html,12899.0,10.0,45.0,1% Off,2,1.0
HONOR X8b (16*/512GB) 108MP+50MP portrait photography Camera | AMOLED Display | Computer Level Storage,https://www.daraz.com.np/products/honor-x8b-16512gb-108mp50mp-portrait-photography-camera-amoled-display-computer-level-storage-i129774095.html,29999.0,17.0,70.0,,2,0.0
TECNO SPARK GO 2024,https://www.daraz.com.np/products/tecno-spark-go-2024-i130034915.html,11900.0,8.0,49.0,,2,0.0
"Samsung Galaxy M15 5G (6GB/128GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Main Camera | 6000mAh Huge Battery",https://www.daraz.com.np/products/samsung-galaxy-m15-5g-6gb128gb-65-superamoled-90hz-display-50mp5mp2mp-main-camera-6000mah-huge-battery-i132006459.html,25999.0,4.0,21.0,,2,0.0
Apple iPhone 11 (128GB) | A13 Bionic 64-bit Processor,https://www.daraz.com.np/products/apple-iphone-11-128gb-a13-bionic-64-bit-processor-i131825414.html,69000.0,2.0,7.0,23% Off,2,23.0
"Redmi Note 13 Pro (12/512) | 6.67"" AMOLED Display | MediaTek Helio G99-Ultra Processor | 5000mAh Battery | 67W Turbo Charging",https://www.daraz.com.np/products/redmi-note-13-pro-12512-667-amoled-display-mediatek-helio-g99-ultra-processor-5000mah-battery-67w-turbo-charging-i129565971.html,35999.0,14.0,63.0,,2,0.0
"Infinix HOT 30i (8/128GB) | 6.56"" HD+ Punch Hole Display | Media Tek Helio G37 | 5000 mAh Battery | 10W",https://www.daraz.com.np/products/infinix-hot-30i-8128gb-656-hd-punch-hole-display-media-tek-helio-g37-5000-mah-battery-10w-i130124917.html,15499.0,2.0,13.0,9% Off,2,9.0
M-Horse Hot30 Play Plus+,https://www.daraz.com.np/products/m-horse-hot30-play-plus-i147343177.html,9800.0,1.0,7.0,,2,0.0
M-HORSE HOT 30 Play 3/64 Ram Room 5000 mAh Battery,https://www.daraz.com.np/products/m-horse-hot-30-play-364-ram-room-5000-mah-battery-i129743160.html,9785.0,8.0,41.0,5% Off,2,5.0
"Redmi Note 13 Pro+ 5G (8/256) | 6.67"" CrystalRes AMOLED Display | MediaTek Dimensity 7200-Ultra Processor | 5000mAh Battery | 120W HyperCharge",https://www.daraz.com.np/products/redmi-note-13-pro-5g-8256-667-crystalres-amoled-display-mediatek-dimensity-7200-ultra-processor-5000mah-battery-120w-hypercharge-i129553683.html,44999.0,18.0,58.0,6% Off,2,6.0
Colors C8 Kaypad Mobile | New Model | Wireless FM | Torch | MP3/MP4 Player,https://www.daraz.com.np/products/colors-c8-kaypad-mobile-new-model-wireless-fm-torch-mp3mp4-player-i138448399.html,1139.0,3.0,12.0,,3,0.0
"COLORS, P-5 CHAMP, GOLD smartphone",https://www.daraz.com.np/products/colors-p-5-champ-gold-smartphone-i115702052.html,2600.0,2.0,24.0,,3,0.0
"Samsung Galaxy A35 5G (8GB/256GB) | 6.6"" SuperAMOLED 120Hz Display | 50MP+8MP+5MP Rear Camera with OIS | 5000mAh Battery",https://www.daraz.com.np/products/samsung-galaxy-a35-5g-8gb256gb-66-superamoled-120hz-display-50mp8mp5mp-rear-camera-with-ois-5000mah-battery-i130001290.html,50999.0,12.0,27.0,2% Off,3,2.0
"Redmi Note 13 Pro+ 5G (12/512) | 6.67"" CrystalRes AMOLED Display | MediaTek Dimensity 7200-Ultra Processor | 5000mAh Battery | 120W HyperCharge",https://www.daraz.com.np/products/redmi-note-13-pro-5g-12512-667-crystalres-amoled-display-mediatek-dimensity-7200-ultra-processor-5000mah-battery-120w-hypercharge-i129566166.html,49999.0,18.0,78.0,6% Off,3,6.0
Apple iPhone 15 Plus - EvoStore,https://www.daraz.com.np/products/apple-iphone-15-plus-evostore-i128335509.html,154200.0,3.0,20.0,13% Off,3,13.0
Nothing Phone 2a || 120 Hz Amoled Display || Dimensity 7200 Pro || 5000 mAh Battery,https://www.daraz.com.np/products/nothing-phone-2a-120-hz-amoled-display-dimensity-7200-pro-5000-mah-battery-i135660883.html,48690.0,1.0,0.0,1% Off,3,1.0
Vitu S6 Pro 7Gb Ram 64Gb Room{4+3}+64 4G VOLTE 5250 mAh Battery,https://www.daraz.com.np/products/vitu-pro-7gb-ram-64gb-room4364-4g-volte-5250-mah-battery-i129731174.html,10450.0,4.0,31.0,5% Off,3,5.0
HONOR X7b (16*/256GB) | 6000 mAh Battery | 108MP Camera | 35W wired Charging,https://www.daraz.com.np/products/honor-x7b-16256gb-6000-mah-battery-108mp-camera-35w-wired-charging-i129975778.html,23999.0,6.0,34.0,,3,0.0
